"Label;Description";;;;;;;;;
"4,""Startup takes new approach to server virtualization"",""A little-known, Boston-area startup is beta-testing technology designed to let users quickly configure """"virtual"""" multiprocessor systems out of inexpensive PC machines. Called Katana Technology, the 30-person company has not yet revealed details of its upcoming product, but appears to have developed a novel approach to consolidating data center resources.""";;;;;;;;;
"4,""IBM, others push for greater U.S. innovation"",""The U.S. needs to overhaul its education system to encourage innovation and focus more federal funding on high-risk research to maintain a competitive edge over other nations, according to a report endorsed by leading U.S. companies and universities.""";;;;;;;;;
"4,""Sprint, Nextel herald 'future of communications'"",""Executives from Sprintand Nextel Communicationstook to a stage at the St. Regis Hotel in New York Wednesday to announce a definitive agreement to merge their two companies and create the third largest mobile phone company in the U.S.""";;;;;;;;;
"4,""In Brief: Neon Systems acquires ClientSoft"",""Neon Systems, a provider of mainframe integration solutions for Microsoft .Net and Java applications, has acquired ClientSoft for \$10.5 million in cash and the rights to purchase 1.1 million shares of Neon stock. The privately held ClientSoft specializes in secure, high-performance integration solutions for mainframe Web services. The purchase, which adds 180 customers to Neon's base of 300 customers, brings together Neon's Shadow z/Services and ClientSoft's ServiceBuilder product lines and should provide customers with a robust set of solutions to support service-oriented architectures (SOAs).\\""";;;;;;;;;
"4,""NEC, Toshiba claim MRAM breakthroughs"",""NEC and Toshiba have made two advancements in developing a new type of memory that could eventually replace the standard memory used in mobile phones, MP3 players, and other portable electronic devices, the companies said Wednesday.""";;;;;;;;;
"4,""IBM, Others Push for Greater U.S. Innovation"",""Nation needs government help to maintain competitive edge, group says.""";;;;;;;;;
"4,""Third Largest U.S. Cell Phone Company Created"",""Sprint and Nextel herald """"the future of communications.""""""";;;;;;;;;
"4,""FCC Moves Toward Voice, Data, Broadband on Planes"",""Agency to auction licenses for communications";;;;;;;;;
"4,""First Look: Small Business Accounting Apps"",""Intuit, Best Software offer new features, prices with 2005 editions.""";;;;;;;;;
"4,""NEC, Toshiba Claim Memory Breakthrough"",""Companies are developing MRAM, which could be used in portable electronic devices.""";;;;;;;;;
"4,""Company Claims First True WiMax Chip"",""Wireless broadband systems should be available next year, WaveSat says.""";;;;;;;;;
"4,""Court Lifts BlackBerry Maker's Injunction"",""Patent infringement found";;;;;;;;;
"3,""Global aviation security in a confusing mess: IATA"",""Geneva, Dec 16 (UNI) Three years and three months after September 11 terror attacks in the United States, aviation security worldwide remains a confusing mess.""";;;;;;;;;
"3,""A Sleeping Pill for Longer Use Wins Approval"",""The Food and Drug Administration has approved a new sleeping pill that some specialists say could pave the way for longer-term use of such medications.""";;;;;;;;;
"4,""Ask Jeeves Enters Desktop Search Wars"",""The same week Microsoft released a beta version of its desktop search the butler Jeeves has released a beta of their own. The software is for Windows based pcs only and will allow a user to search their """;;;;;;;;;
"2,""Spurs Beat Magic 94-91 (AP)"",""AP - Tim Duncan had 24 points and 14 rebounds to lead the San Antonio Spurs to a 94-91 victory Wednesday night over the Orlando Magic.""";;;;;;;;;
"2,""Jones Files \$25 Million Defamation Suit Against Conte"",""Sprint superstar Marion Jones filed a \$25 million defamation lawsuit against Bay Area Laboratory Co-Operative (BALCO) founder Victor Conte Jr.""";;;;;;;;;
"2,""Dickau scores 23";;;;;;;;;
"2,""He Won #39";;;;;;;;;
"2,""Television deal is  #39";;;;;;;;;
"2,""NCAA Game Summary - Louisianna-Lafayette at North Carolina State"",""Raleigh, NC (Sports Network) - Andrew Brackman scored 16 of his 20 points in the second half to lead 12th-ranked North Carolina State to a hard-fought 78-72 win over Louisiana-Lafayette at the RBC Center.""";;;;;;;;;
