Label,Description
4,"A little-known, Boston-area startup is beta-testing technology designed to let users quickly configure ""virtual"" multiprocessor systems out of inexpensive PC machines. Called Katana Technology, the 30-person company has not yet revealed details of its upcoming product, but appears to have developed a novel approach to consolidating data center resources."
4,"The U.S. needs to overhaul its education system to encourage innovation and focus more federal funding on high-risk research to maintain a competitive edge over other nations, according to a report endorsed by leading U.S. companies and universities."
4,Executives from Sprintand Nextel Communicationstook to a stage at the St. Regis Hotel in New York Wednesday to announce a definitive agreement to merge their two companies and create the third largest mobile phone company in the U.S.
4,"Neon Systems, a provider of mainframe integration solutions for Microsoft .Net and Java applications, has acquired ClientSoft for \$10.5 million in cash and the rights to purchase 1.1 million shares of Neon stock. The privately held ClientSoft specializes in secure, high-performance integration solutions for mainframe Web services. The purchase, which adds 180 customers to Neon's base of 300 customers, brings together Neon's Shadow z/Services and ClientSoft's ServiceBuilder product lines and should provide customers with a robust set of solutions to support service-oriented architectures (SOAs).\\"
4,"NEC and Toshiba have made two advancements in developing a new type of memory that could eventually replace the standard memory used in mobile phones, MP3 players, and other portable electronic devices, the companies said Wednesday."
4,"Nation needs government help to maintain competitive edge, group says."
4,"Sprint and Nextel herald ""the future of communications."""
4,Agency to auction licenses for communications
4,"Intuit, Best Software offer new features, prices with 2005 editions."
4,"Companies are developing MRAM, which could be used in portable electronic devices."
4,"Wireless broadband systems should be available next year, WaveSat says."
4,Patent infringement found
3,"Geneva, Dec 16 (UNI) Three years and three months after September 11 terror attacks in the United States, aviation security worldwide remains a confusing mess."
3,The Food and Drug Administration has approved a new sleeping pill that some specialists say could pave the way for longer-term use of such medications.
4,The same week Microsoft released a beta version of its desktop search the butler Jeeves has released a beta of their own. The software is for Windows based pcs only and will allow a user to search their 
2,AP - Tim Duncan had 24 points and 14 rebounds to lead the San Antonio Spurs to a 94-91 victory Wednesday night over the Orlando Magic.
2,Sprint superstar Marion Jones filed a \$25 million defamation lawsuit against Bay Area Laboratory Co-Operative (BALCO) founder Victor Conte Jr.
2,"Raleigh, NC (Sports Network) - Andrew Brackman scored 16 of his 20 points in the second half to lead 12th-ranked North Carolina State to a hard-fought 78-72 win over Louisiana-Lafayette at the RBC Center."
2,"AP - Alexis Hornbuckle scored 17 points for ninth-ranked Tennessee, which beat Louisiana Tech 70-59 Wednesday night to give the Lady Techsters consecutive losses at home for the first time in 14 seasons."
1,"JAKARTA, Indonesia Indonesia has ordered a nationwide security crackdown after warnings from Australia, Britain and New Zealand that terrorists plan to attack ahead of Christmas."
2,"Trying to counter the loss of Pedro Martnez and their failures in other contract negotiations, the Red Sox have reached an agreement shortstop Edgar Renteria."
4,"Jon Stewart's Humiliation of Tucker Carlson the Most Popular Blog Story of 2004\\According to Intelliseek's BlogPulse, the transcript of comedian Jon Stewart's October debate with CNN ""Crossfire"" hosts Tucker Carlson and Paul Begala was the No. 1 ""blogged"" news item of 2004. Bloggers linked to the ""Crossfire"" transcript in their ..."
4,"Google Planning To Index Entire Libraries\\For a long time there have been rumors going around about Project Ocean, a project by Google to index all the pre-1923 content in the Stanford Library. (I'd call it a little stronger than a rumor since it was in the New York Times, but ..."
4,"Ask Jeeves Introduces Yet Another Desktop Search Tool\\Ask Jeeves yesterday joined Microsoft in introducing a beta desktop search application. Ask Jeeves states that its Desktop Search makes it easy for people to find information on their computers or the Internet. Upon installation of the small (750K) application, Ask Jeeves Desktop ..."
4,A 21-year-old Michigan man who tried to steal credit card numbers from a national hardware store chain is sentenced to nine years in federal prison.
4,The Associated Press By Ted Bridis
4,"Want to impress your Windows-using friends and colleagues? Start a QuickTime movie, play a DVD, click on the visualizer in iTunes while it plays a song. Then press F9 and watch what happens.  Dec 15"
4,"Magnetospheres, the giant magnetic fields around planets, are extraordinarily good at trapping plasma. To study them, and gain insights into how to produce fusion power, a group of scientists builds a mini magnetosphere at MIT. By Rachel Metz."
4,Researchers are working on autonomous robots that eat to produce energy. The problem right now is that batteries are much better. By Lakshmi Sandhana.
4,"The follow-up to last year's hit game, Star Wars Knights of the Old Republic, offers more proof that sequels often pale next to the originals. While it boasts addictive gameplay and rich character development, the sequel suffers from numerous technical glitches. Game review by Suneel Ratan."
4,"Fans of Japanese animation get a travel book tailored to their interests. With Cruising the Anime City: An Otaku Guide to Neo Tokyo, geeks can pursue the ultimate pop-culture fix. By Chris Baker."
4,Mini games that use a mic and players' voices make Mario Party 6 a raucous game. Just don't expect the novelty to last long. Game review by Chris Kohler.
4,The film studios' lobbying arm files lawsuits against the operators of sites and servers that help users of file-sharing networks locate movies and songs. By Xeni Jardin.
4,"This month you will be able to choose from four competitors to Apple's iPod Mini, courtesy of Dell, Rio Audio, Virgin Electronics and Creative. How do they compare?"
4,"Apple's iPod is the 800-pound white gorilla of the digital music market. But a number of new music players, on the market or in the works, have Apple in their sights."
4,"When it comes to rating video games, ""teen"" vs. ""mature"" can be a fine line. But either way, it leads to the cash register."
4,"An offbeat comic strip, published only on the Web, helps two video-game fans keep body and soul together."
4,"Despite the technological advances, Honda has not made much progress in determining just what the robot might be used for."
3,The proposed \$35 billion merger of Sprint Corp. and Nextel Communications could mean changes for Kirkland-based Nextel Partners Inc.
3,WASHINGTON - Time Warner Inc. agreed Wednesday to pay \$210 million to settle criminal securities-fraud charges brought by the Justice Department against the company #39
3,"Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday."
3,"Caterpillar Inc. and its largest union, the United Auto Workers, said late on Wednesday they had tentatively agreed on a new six-year labor contract, ending a four-month stalemate."
4,"Hewlett-Packard may have transferred its last remaining Itanium processor engineers to Intel, but the server maker is standing by the technology to the tune of \$3 billion."
4,"Yahoo Inc. (YHOO.O: Quote, Profile, Research) is set to offer an online service that lets users view live US local traffic conditions on custom-created maps, the first "
2,LONDON: Striker Bonaventure Kalou netted twice to send AJ Auxerre through to the first knockout round of the Uefa Cup at the expense of Rangers last night.
2,"ST. PAUL, Minn. -- Andy Roddick beat Mardy Fish 6-3, 6-3 in the Minnesota Tennis Challenge exhibition Wednesday night. Roddick, playing for the first time since firing coach Brad Gilbert over the weekend, was fighting a cold but still managed to win."
2,The Hornets #39
2,"In his true diva way, Pedro Martinez must surely be chuckling that his signing with the New York Mets has created chaos in baseball, or at least in the American "
2,"Mississippi has hired Southern California assistant Ed Orgeron to coach the Rebels, Orgeron #39"
1,ISLAMABAD: Pakistan and India failed to agree on the text of the draft agreement on advance notification of missile tests as the expert-level meetings on nuclear CBMs concluded here on Wednesday.
4,"Time Warner investors celebrate the company's settlement with SEC over AOL accounting charges Wednesday, temporarily pushing its share price to a 52-week high. &lt"
4,Google Inc. won a major legal victory yesterday when a federal judge ruled that the Internet search engine's advertising policy does not violate federal trademark laws.
4,  The e-mail offers are coming fast and furious.&lt
