"Label;Description"
"World;Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years."
"World;Reuters - South Korean police used water cannon in\central Seoul Sunday to disperse at least 7,000 protesters\urging the government to reverse a controversial decision to\send more troops to Iraq."
"World;Reuters - Thousands of Palestinian\prisoners in Israeli jails began a hunger strike for better\conditions Sunday, but Israel's security minister said he\didn't care if they starved to death."
"World;AFP - Sporadic gunfire and shelling took place overnight in the disputed Georgian region of South Ossetia in violation of a fragile ceasefire, wounding seven Georgian servicemen."
"World;AP - Dozens of Rwandan soldiers flew into Sudan's troubled Darfur region Sunday the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands."
"World;Reuters - Rwandan troops were airlifted on Sunday\to Sudan's Darfur as the first foreign force there, mandated to\protect observers monitoring a cease-fire between the Sudanese\government and rebels in the troubled western region."
"World;AP - A bomb exploded during an Independence Day parade in India's remote northeast Sunday killing at least 15 people including schoolchildren while a rocket attack during a celebration at a school in the separatist region of Kashmir injured 17, officials said."
"World;AFP - Australia's foreign minister will pay a rare visit to North Korea this week for talks on its nuclear programme after creating a stir here by warning a North Korean missile would be able to hit Sydney."
"World;AP - Democratic presidential candidate John Kerry does not plan to visit Florida in the aftermath of Hurricane Charley because he's concerned his campaign entourage could distract from recovery efforts, he said Saturday."
"World;AP - Democratic vice presidential candidate John Edwards called for changes to prescription drug programs and praised running mate John Kerry's military and government service at an outdoor campaign rally here Saturday."
"World;AFP - Although polls show the US presidential race a virtual dead heat, Democrat John Kerry appears to be gaining an edge over George W. Bush among the key states that could decide the outcome."
"World;AP - Congress must pass legislation to protect the nation's electricity grid if it wants to avoid repeats of the devastating outages that rolled across eight states last year Sen. Maria Cantwell D-Wash., said Saturday."
"World;AP - Missouri's attorney general sued the federal environmental agency on Friday, saying it is behind on testing the state's air for lead as required by law."
"World; BAGHDAD (Reuters) - Insurgents fired mortars at a meeting  where Iraqi leaders met to pick an interim national assembly  Sunday, killing at least two people in a grim reminder of the  country's tortured path toward democracy."
"World; TOKYO (Reuters) - Three Japanese ministers paid homage at a  controversial shrine for war dead Sunday the 59th anniversary  of Japan's World War II surrender, a move that drew anger from  Asian neighbors."
"World;Clashes between US troops and Sadr militiamen escalated Thursday, as the US surrounded Najaf for possible siege."
"World;Amid a reevaluation, officials this week pushed the completion date for venues back to 2007."
"World;Talks on setting up an Iraqi assembly continue despite fresh violence in Baghdad and the Shia stronghold of Najaf."
"World;A referendum is under way in Venezuela to decide if President Hugo Chavez should remain in office."
"World;An ailing Pope John Paul II says Mass at Lourdes, the French shrine revered by Roman Catholics."
"World;Rwandan troops arrive in Sudan to help protect ceasefire monitors in the war-ravaged Darfur region."
"World;Ian Thorpe sets the fastest time in the 200m freestyle as swimming's top names cruise into the semi-finals."
"World;Iran's Arash Miresmaili withdraws from the Olympics amid confusion over his reasons."
"World;Santa Barbara's sheriff asks a judge if he can release the results of an inquiry into Michael Jackson's treatment by police."
"World;The Iraq crisis and differences over Nato loom over the US Defence Secretary's meeting with his Russian counterpart."
"World;Georgia and South Ossetia negotiate the details of a truce they forged, despite reports of a village attack."
"World;The British journalist who was kidnapped in Iraq says he faced mock executions and tried to escape his captors."
"World;A man convicted of raping and killing a schoolgirl is hanged in India's first execution in nine years."
"World;Harry Potter author JK Rowling delights a small group of fans by giving her first public reading in Scotland for four years."
"World;CARACAS -- Partisans on both sides are calling it the most polarized and important election in Venezuela's history, a presidential recall referendum today that will determine the course of democracy here and could buffet world oil prices. Both campaigns are also utterly convinced they will win."
"World;LONDON -- On a sweltering August afternoon George Watson wedged himself his briefcase his sports jacket and his raincoat into a narrow seat aboard the profoundly un-air-conditioned No. 38 bus as it resumed its rumble down High Holborn, in London's bustling city center."
"World;KABUL Afghanistan -- Rival militias clashed in western Afghanistan yesterday, reportedly killing 21 people and ramping up concern about security as the country prepares for landmark elections."
"World;BAGHDAD -- After more than a week of fighting between the Mahdi Army and the combined US and Iraqi forces in Najaf Baghdad's Sadr City and a half-dozen other cities, analysts say neither interim Prime Minister Iyad Allawi nor radical cleric Moqtada al-Sadr had any good options left other than to talk."
"World;SASEBO Japan -- On a cloudless afternoon in this sleepy port city an 11-year-old girl drenched in blood and clutching a box cutter walked into the lunchroom at her elementary school. Teachers and students froze assuming the sixth-grader known for her lighthearted nature had gravely hurt herself -- but she quickly dispelled that impression witnesses said, by uttering a few ..."
"World;SARAJEVO Bosnia-Herzegovina -- When NATO forces first came to Bosnia nearly a decade ago they lived in heavily guarded compounds patrolled the streets in tanks, and often wore full body armor."
"World;SEOUL -- For years Lee Yu Jin kept her secret. Whenever anybody asked -- and they did all the time as her celebrity as an actress and model spread -- she simply denied the rumors. No, she was not a foreigner. She was Korean."
"World;CARACAS Venezuela - The opposition's long and bitter campaign to oust Venezuelan President Hugo Chavez finally came down to a recall referendum Sunday with the leftist leader hoping a huge turnout among the poor will keep him in power.    Activists on both sides set off fireworks and blared recordings of bugle music to wake voters hours before dawn, hoping for a flood of early votes in their favor..."
"World;PUNTA GORDA Fla. - After getting a first look at the widespread damage left behind by Hurricane Charley Florida residents were faced with the arduous task of sorting through the wreckage and for some, starting over again..."
